Handle,Title,Vendor,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant SKU,Status,Image Src,Type,Metafield: custom.breadCrumbs [single_line_text_field],ID (Ref),Handle (Ref),Import Result,Import Comment
S-16737,S-16737,Arka,FALSE,Size,14x8x4,,,,,1.04,S-16737,draft,https://img.uline.com/is/image/uline/S-16737?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Flat Boxes",8.19257E+12,s-16737,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-21004,S-21004,Arka,FALSE,Size,14x8x5,,,,,1.12,S-21004,draft,https://img.uline.com/is/image/uline/S-21004?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-21004,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4137,S-4137,Arka,FALSE,Size,14x8x6,,,,,1.17,S-4137,draft,https://img.uline.com/is/image/uline/S-4137?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-4137,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4139,S-4139,Arka,FALSE,Size,14x8x8,,,,,1.29,S-4139,draft,https://img.uline.com/is/image/uline/S-4139?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-4139,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-16735,S-16735,Arka,FALSE,Size,14x9x6,,,,,1.32,S-16735,draft,https://img.uline.com/is/image/uline/S-16735?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-16735,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4985,S-4985,Arka,FALSE,Size,14x9x9,,,,,1.42,S-4985,draft,https://img.uline.com/is/image/uline/S-4985?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-4985,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-21007,S-21007,Arka,FALSE,Size,14x10x3,,,,,1.34,S-21007,draft,https://img.uline.com/is/image/uline/S-21007?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Flat Boxes",8.19257E+12,s-21007,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-13299,S-13299,Arka,FALSE,Size,14x10x2,,,,,1.29,S-13299,draft,https://img.uline.com/is/image/uline/S-13299?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Flat Boxes",8.19257E+12,s-13299,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4492,S-4492,Arka,FALSE,Size,14x10x4,,,,,1.38,S-4492,draft,https://img.uline.com/is/image/uline/S-4492?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Flat Boxes",8.19257E+12,s-4492,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4986,S-4986,Arka,FALSE,Size,14x10x5,,,,,1.42,S-4986,draft,https://img.uline.com/is/image/uline/S-4986?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Flat Boxes",8.19257E+12,s-4986,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4233,S-4233,Arka,FALSE,Size,14x10x6,,,,,0.91,S-4233,draft,https://img.uline.com/is/image/uline/S-4233?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-4233,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-21065,S-21065,Arka,FALSE,Size,14x10x7,,,,,1.44,S-21065,draft,https://img.uline.com/is/image/uline/S-21065?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-21065,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4143,S-4143,Arka,FALSE,Size,14x10x8,,,,,0.93,S-4143,draft,https://img.uline.com/is/image/uline/S-4143?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-4143,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4888,S-4888,Arka,FALSE,Size,14x10x9,,,,,1.5,S-4888,draft,https://img.uline.com/is/image/uline/S-4888?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-4888,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4144,S-4144,Arka,FALSE,Size,14x10x10,,,,,1,S-4144,draft,https://img.uline.com/is/image/uline/S-4144?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-4144,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-537,S-537,Arka,FALSE,Size,14x10x10,,,,,1.81,S-537,draft,https://img.uline.com/is/image/uline/S-537?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Multi-Depth Boxes",8.19257E+12,s-537,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-16457,S-16457,Arka,FALSE,Size,14x10x10,,,,,1.84,S-16457,draft,https://img.uline.com/is/image/uline/S-16457?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > White Corrugated Boxes",8.19257E+12,s-16457,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-22185,S-22185,Arka,FALSE,Size,14x10x11,,,,,1.65,S-22185,draft,https://img.uline.com/is/image/uline/S-22185?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-22185,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4149,S-4149,Arka,FALSE,Size,14x10x12,,,,,1.74,S-4149,draft,https://img.uline.com/is/image/uline/S-4149?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-4149,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
