n,W,L,H
GK5-090-065,9.06,12.6,4.92
GK5-090-070,9.06,12.6,4.92
IW4-675-090,9.06,12.6,4.92
FR1-399-055,9.06,12.6,4.92
GL9-090-070,9.06,12.6,4.92
FR1-001-070,9.06,12.6,4.92
IO8-001-085,9.06,12.6,4.92
FR1-399-050,9.06,12.6,4.92
FR1-399-070,9.06,12.6,4.92
ID4-B58-060,9.06,12.6,4.92
ID4-A20-070,9.06,12.6,4.92
HO7-399-060,9.06,12.6,4.92
IL3-B96-060,9.06,12.6,4.92
IV9-090-090,9.06,12.6,4.92
IW1-090-090,9.06,12.6,4.92
IW1-C15-080,9.06,12.6,4.92
IK8-C95-065,9.06,12.6,4.92
IW4-399-080,9.06,12.6,4.92
IP1-001-080,9.06,12.6,4.92
IK8-090-050,9.06,12.6,4.92
ID4-B58-070,9.06,12.6,4.92
IK8-D39-070,9.06,12.6,4.92
IK8-288-055,9.06,12.6,4.92
FR1-194-050,9.06,12.6,4.92
HO7-A94-070,9.06,12.6,4.92
IP1-001-070,9.06,12.6,4.92
IB5-167-060,9.06,12.6,4.92
FR1-194-055,9.06,12.6,4.92
FR1-001-050,9.06,12.6,4.92
GM7-886-050,9.06,12.6,4.92
IW1-675-080,9.06,12.6,4.92
IW2-C15-090,9.06,12.6,4.92
IO2-687-085,9.06,12.6,4.92
IW1-288-090,9.06,12.6,4.92
GM7-886-070,9.06,12.6,4.92
HY3-001-090,9.06,12.6,4.92
E2Q-D20-065,9.06,12.6,4.92
FR1-194-060,9.06,12.6,4.92
GM7-886-055,9.06,12.6,4.92
GM7-886-060,9.06,12.6,4.92
IB5-001-065,9.06,12.6,4.92
IF6-817-080,9.45,12.6,4.72
GB7-090-090,9.45,12.6,4.72
E7A-C88-090,9.45,12.6,4.72
GB7-A54-090,9.45,12.6,4.72
CR2-001-095,9.45,12.6,4.72
HF3-B25-080,9.45,12.6,4.72
CR2-810-095,9.45,12.6,4.72
IC9-A93-080,9.45,12.6,4.72
GB7-A54-080,9.45,12.6,4.72
GL4-231-080,9.45,12.6,4.72
DR1-005-100,9.45,12.6,4.72
GB7-A22-090,9.45,12.6,4.72
IF6-076-090,9.45,12.6,4.72
GL4-646-080,9.45,12.6,4.72
C92-203-080,9.45,12.6,4.72
DX7-090-090,9.45,12.6,4.72
IC9-477-090,9.45,12.6,4.72
E7A-C88-080,9.45,12.6,4.72
GB7-646-090,9.45,12.6,4.72
E7A-001-090,9.45,12.6,4.72
HF2-A89-080,9.45,12.6,4.72
HF2-399-090,9.45,12.6,4.72
HF2-399-080,9.45,12.6,4.72
HF2-A06-080,9.45,12.6,4.72
E7A-001-080,9.45,12.6,4.72
IC9-535-090,9.45,12.6,4.72
HF2-194-090,9.45,12.6,4.72
GB7-231-080,9.45,12.6,4.72
CR2-001-100,9.45,12.6,4.72
CR2-810-100,9.45,12.6,4.72
HF2-001-090,9.45,12.6,4.72
HF3-B25-090,9.45,12.6,4.72
E7A-194-080,9.45,12.6,4.72
GB7-090-080,9.45,12.6,4.72
IF6-817-090,9.45,12.6,4.72
HF3-B13-090,9.45,12.6,4.72
AS8-323-090,9.45,12.6,4.72
HF2-A89-090,9.45,12.6,4.72
DX7-167-090,9.45,12.6,4.72
IC9-A93-090,9.45,12.6,4.72
HF2-194-080,9.45,12.6,4.72
DX7-167-080,9.45,12.6,4.72
C91-001-080,9.45,12.6,4.72
B34-011-090,9.45,12.6,4.72
DX7-090-080,9.45,12.6,4.72
E5R-076-080,9.45,12.6,4.72
E5R-288-080,9.45,12.6,4.72
GB7-A22-080,9.45,12.6,4.72
GL4-231-090,9.45,12.6,4.72
GB7-A85-080,9.45,12.6,4.72
IC9-477-080,9.45,12.6,4.72
E5R-892-080,9.45,12.6,4.72
GB7-646-080,9.45,12.6,4.72
GB7-A85-090,9.45,12.6,4.72
GL4-646-090,9.45,12.6,4.72
IC9-535-080,9.45,12.6,4.72
HV3-A61-090,9.45,12.6,4.72
GO6-A74-090,9.45,12.6,4.72
AS8-323-080,9.45,12.6,4.72
CR2-001-090,9.45,12.6,4.72
HV3-A61-080,9.45,12.6,4.72
HF2-A06-090,9.45,12.6,4.72
E5R-090-080,9.45,12.6,4.72
E5R-076-090,9.45,12.6,4.72
GB7-231-090,9.45,12.6,4.72
GO6-A74-080,9.45,12.6,4.72
E5R-288-090,9.45,12.6,4.72
E5R-090-090,9.45,12.6,4.72
IC9-001-090,9.45,12.6,4.72
HF2-001-080,9.45,12.6,4.72
IC9-001-080,9.45,12.6,4.72
IF6-076-080,9.45,12.6,4.72
E5R-892-090,9.45,12.6,4.72
CR2-810-090,9.45,12.6,4.72
DR1-005-090,9.45,12.6,4.72
ID4-194-070,9.06,12.6,4.93
ID4-090-065,9.06,12.6,4.93
ID4-090-060,9.06,12.6,4.93
ID4-399-060,9.06,12.6,4.93
ID4-399-065,9.06,12.6,4.93
ID4-194-065,9.06,12.6,4.93
ID4-090-070,9.06,12.6,4.93
ID4-194-060,9.06,12.6,4.93
ID4-399-070,9.06,12.6,4.93
B1B-B41-090,9,12.5,5.01
IV3-012-055,9,12.5,5.01
B1B-288-080,9,12.5,5.01
IV3-011-065,9,12.5,5.01
B1B-288-090,9,12.5,5.01
IV3-011-040,9,12.5,5.01
IV3-011-050,9,12.5,5.01
IV3-011-045,9,12.5,5.01
IV3-012-050,9,12.5,5.01
IV3-011-060,9,12.5,5.01
B1B-001-080,9,12.5,5.01
HF3-C05-050,9,12.5,5.01
IV3-012-070,9,12.5,5.01
B1B-B41-070,9,12.5,5.01
IV3-011-080,9,12.5,5.01
B1B-B41-080,9,12.5,5.01
B1B-288-070,9,12.5,5.01
IV3-011-090,9,12.5,5.01
B1B-001-090,9,12.5,5.01
B1B-001-070,9,12.5,5.01
HE6-328-050,9,12.5,5.01
IV3-011-055,9,12.5,5.01
IV3-011-070,9,12.5,5.01
HE5-001-065,9.3,12.5,4.86
IB8-864-030,9.2,12.8,4.81
IB8-864-040,9.2,12.8,4.81
IB8-864-060,9.2,12.8,4.81
IB8-864-090,9.2,12.8,4.81
HG9-A20-080,9.1,12.5,5.01
HF3-C05-060,9.1,12.8,4.91
E4X-C91-080,9.4,12.2,5.01
B5R-090-070,9.4,12.2,5.01
E4X-D01-080,9.4,12.2,5.01
E4X-B84-080,9.4,12.2,5.01
E4X-C91-070,9.4,12.2,5.01
E4X-D01-090,9.4,12.2,5.01
E4X-B84-065,9.4,12.2,5.01
E4X-C91-065,9.4,12.2,5.01
B5R-090-080,9.4,12.2,5.01
E4X-B84-090,9.4,12.2,5.01
B5R-090-090,9.4,12.2,5.01
E4X-D01-070,9.4,12.2,5.01
E4X-D01-065,9.4,12.2,5.01
E4X-B84-060,9.4,12.2,5.01
B5R-090-065,9.4,12.2,5.01
E4X-B84-070,9.4,12.2,5.01
E4X-C91-090,9.4,12.2,5.01
E4X-D01-060,9.4,12.2,5.01
FW5-592-080,8.66,12.99,5.12
HN3-675-080,8.66,12.99,5.12
HV1-001-090,8.66,12.99,5.12
HP4-592-080,8.66,12.99,5.12
HN4-592-080,8.66,12.99,5.12
HN4-592-090,8.66,12.99,5.12
HJ3-323-080,8.66,12.99,5.12
GX2-886-090,8.66,12.99,5.12
HJ3-323-090,8.66,12.99,5.12
HP6-592-080,8.66,12.99,5.12
GK7-090-090,8.66,12.99,5.12
HP6-001-080,8.66,12.99,5.12
HT4-011-090,8.66,12.99,5.12
HV1-001-080,8.66,12.99,5.12
HJ4-011-080,8.66,12.99,5.12
HN3-675-090,8.66,12.99,5.12
FT8-675-080,8.66,12.99,5.12
HV1-B36-080,8.66,12.99,5.12
HT4-011-080,8.66,12.99,5.12
HJ4-011-090,8.66,12.99,5.12
HV1-B36-090,8.66,12.99,5.12
HJ4-323-090,8.66,12.99,5.12
E5S-288-090,8.66,12.99,5.12
HN3-011-080,8.66,12.99,5.12
HN2-A95-080,8.66,12.99,5.12
IJ5-619-090,8.66,12.99,5.12
FW3-090-090,8.66,12.99,5.12
HE7-592-080,8.66,12.99,5.12
HI1-675-090,8.66,12.99,5.12
HI1-675-080,8.66,12.99,5.12
HP5-592-080,8.66,12.99,5.12
HE7-001-090,8.66,12.99,5.12
HM3-A20-080,8.66,12.99,5.12
HI1-011-080,8.66,12.99,5.12
HM3-A20-090,8.66,12.99,5.12
HI1-011-090,8.66,12.99,5.12
HE7-001-080,8.66,12.99,5.12
HJ4-323-080,8.66,12.99,5.12
HP5-592-090,8.66,12.99,5.12
HP5-001-090,8.66,12.99,5.12
HP5-001-080,8.66,12.99,5.12
HE8-001-080,8.66,12.99,5.12
IJ4-231-090,8.66,12.99,5.12
E5S-288-080,8.66,12.99,5.12
IJ4-B40-080,8.66,12.99,5.12
FW5-090-090,8.66,12.99,5.12
HN2-090-090,8.66,12.99,5.12
HP6-001-090,8.66,12.99,5.12
IJ4-B40-090,8.66,12.99,5.12
HN2-A89-080,8.66,12.99,5.12
HH8-090-080,8.66,12.99,5.12
HF5-001-090,8.66,12.99,5.12
HN2-090-080,8.66,12.99,5.12
GW9-001-080,8.66,12.99,5.12
HF5-B14-090,8.66,12.99,5.12
HP4-592-090,8.66,12.99,5.12
HE8-A89-090,8.66,12.99,5.12
HE8-592-090,8.66,12.99,5.12
HE8-592-080,8.66,12.99,5.12
HE8-194-090,8.66,12.99,5.12
HE8-194-080,8.66,12.99,5.12
HE8-167-090,8.66,12.99,5.12
HE7-194-090,8.66,12.99,5.12
HE7-A89-080,8.66,12.99,5.12
GK7-592-080,8.66,12.99,5.12
HE7-592-090,8.66,12.99,5.12
GJ5-090-080,8.66,12.99,5.12
GK7-090-080,8.66,12.99,5.12
HE7-194-080,8.66,12.99,5.12
GJ6-592-080,8.66,12.99,5.12
HE7-167-080,8.66,12.99,5.12
EH8-892-080,8.66,12.99,5.12
E5S-076-090,8.66,12.99,5.12
IM3-675-080,8.66,12.99,5.12
FW5-592-090,8.66,12.99,5.12
E5S-892-090,8.66,12.99,5.12
HE4-B09-080,8.66,12.99,5.12
E5S-076-080,8.66,12.99,5.12
E5S-892-080,8.66,12.99,5.12
HG2-001-090,8.66,12.99,5.12
GK7-592-090,8.66,12.99,5.12
E5S-090-090,8.66,12.99,5.12
HG2-001-080,8.66,12.99,5.12
GW9-886-090,8.66,12.99,5.12
HF5-001-080,8.66,12.99,5.12
E5S-090-080,8.66,12.99,5.12
IJ5-619-080,8.66,12.99,5.12
HF5-B14-080,8.66,12.99,5.12
HN2-A89-090,8.66,12.99,5.12
HM3-001-080,8.66,12.99,5.12
HG2-194-090,8.66,12.99,5.12
HG1-001-080,8.66,12.99,5.12
HG2-194-080,8.66,12.99,5.12
HE8-167-080,8.66,12.99,5.12
HF5-B09-080,8.66,12.99,5.12
HG1-B09-090,8.66,12.99,5.12
EH8-137-080,8.66,12.99,5.12
HP6-592-090,8.66,12.99,5.12
IC1-C20-040,9.2,12.5,5.01
IC1-C20-050,9.2,12.5,5.01
IC1-C20-065,9.2,12.5,5.01
IC1-C20-030,9.2,12.5,5.01
IC1-C20-090,9.2,12.5,5.01
HJ6-011-060,9.25,12.88,4.89
HJ6-011-045,9.4,12.4,5.01
HJ6-011-055,9.4,12.4,5.01
IY1-C89-080,9.06,12.6,5.12
E2Y-167-090,9.06,12.6,5.12
IZ1-A99-080,9.06,12.6,5.12
E1E-090-080,9.06,12.6,5.12
IX9-090-080,9.06,12.6,5.12
IZ1-A99-090,9.06,12.6,5.12
E2Y-040-090,9.06,12.6,5.12
IX9-090-090,9.06,12.6,5.12
IZ1-C15-080,9.06,12.6,5.12
IZ1-C15-090,9.06,12.6,5.12
GY7-167-080,9.06,12.6,5.12
IY1-C91-090,9.06,12.6,5.12
IY9-090-080,9.06,12.6,5.12
IZ1-090-090,9.06,12.6,5.12
IY1-C89-090,9.06,12.6,5.12
IZ8-090-080,9.06,12.6,5.12
IY9-A99-080,9.06,12.6,5.12
IY3-090-090,9.06,12.6,5.12
GY8-001-080,9.06,12.6,5.12
IY9-A99-090,9.06,12.6,5.12
IY9-C15-080,9.06,12.6,5.12
IY3-090-080,9.06,12.6,5.12
IY1-090-090,9.06,12.6,5.12
E2W-A99-090,9.06,12.6,5.12
IZ8-C14-090,9.06,12.6,5.12
GY7-167-070,9.06,12.6,5.12
IZ1-090-080,9.06,12.6,5.12
IV5-675-080,9.06,12.6,5.12
IY1-A99-080,9.06,12.6,5.12
E1E-194-090,9.06,12.6,5.12
IY1-090-080,9.06,12.6,5.12
E1E-090-090,9.06,12.6,5.12
JL4-090-080,9.06,12.6,5.12
E1E-194-080,9.06,12.6,5.12
E2Y-D07-080,9.06,12.6,5.12
IY1-B87-090,9.06,12.6,5.12
IX9-B87-090,9.06,12.6,5.12
IV5-675-090,9.06,12.6,5.12
E2Y-167-080,9.06,12.6,5.12
IY1-C91-080,9.06,12.6,5.12
IV5-194-080,9.06,12.6,5.12
IZ8-C14-080,9.06,12.6,5.12
IZ8-090-090,9.06,12.6,5.12
JL3-675-080,9.06,12.6,5.12
IV5-C15-080,9.06,12.6,5.12
JL4-090-090,9.06,12.6,5.12
E2W-A99-080,9.06,12.6,5.12
IX9-B87-080,9.06,12.6,5.12
IV5-194-090,9.06,12.6,5.12
E2W-090-080,9.06,12.6,5.12
E2W-090-090,9.06,12.6,5.12
JL3-675-090,9.06,12.6,5.12
E2Y-040-080,9.06,12.6,5.12
IY3-C15-080,9.06,12.6,5.12
IY1-B87-080,9.06,12.6,5.12
IY1-C90-080,9.06,12.6,5.12
IY1-C90-090,9.06,12.6,5.12
HJ7-B58-080,9.3,12.8,4.91
HJ7-B58-090,9.3,12.8,4.91
HJ5-B58-090,9.3,12.8,4.91
HJ5-B58-080,9.3,12.8,4.91
HJ5-B58-070,9.3,12.8,4.91
HJ7-B58-070,9.3,12.8,4.91
HS5-A86-080,9.84,12.6,4.72
HS5-001-090,9.84,12.6,4.72
HS5-001-080,9.84,12.6,4.72
E5G-090-080,9.84,12.6,4.72
GS7-A69-060,9.84,12.6,4.72
E6C-C91-070,9.84,12.6,4.72
E6C-001-060,9.84,12.6,4.72
E1X-926-090,9.84,12.6,4.72
E21-194-080,9.84,12.6,4.72
E1X-926-080,9.84,12.6,4.72
JL6-C20-065,9.84,12.6,4.72
JL6-C20-060,9.84,12.6,4.72
HS5-B09-080,9.84,12.6,4.72
JG1-C24-065,9.84,12.6,4.72
E2D-A69-080,9.84,12.6,4.72
E5O-090-050,9.84,12.6,4.72
E5E-194-080,9.84,12.6,4.72
E5O-090-060,9.84,12.6,4.72
E6C-C91-050,9.84,12.6,4.72
GS7-090-060,9.84,12.6,4.72
JG1-C26-065,9.84,12.6,4.72
E5G-090-090,9.84,12.6,4.72
E2D-A69-090,9.84,12.6,4.72
E1X-090-080,9.84,12.6,4.72
E4C-167-070,9.84,12.6,4.72
E4C-076-055,9.84,12.6,4.72
E1V-001-080,9.84,12.6,4.72
E4C-076-050,9.84,12.6,4.72
GS7-535-060,9.84,12.6,4.72
E4S-D29-050,9.84,12.6,4.72
JF7-675-060,9.84,12.6,4.72
GS7-535-050,9.84,12.6,4.72
JF7-675-055,9.84,12.6,4.72
E22-D24-080,9.84,12.6,4.72
E4A-090-050,9.84,12.6,4.72
E4S-328-050,9.84,12.6,4.72
E4A-090-055,9.84,12.6,4.72
E1V-001-070,9.84,12.6,4.72
E4A-090-060,9.84,12.6,4.72
E4A-090-065,9.84,12.6,4.72
E1X-D21-080,9.84,12.6,4.72
E1X-D21-090,9.84,12.6,4.72
HS5-A86-090,9.84,12.6,4.72
JF7-675-070,9.84,12.6,4.72
JG1-C25-065,9.84,12.6,4.72
E1V-001-090,9.84,12.6,4.72
E22-D24-090,9.84,12.6,4.72
JF7-675-065,9.84,12.6,4.72
E1X-090-090,9.84,12.6,4.72
JL6-C20-055,9.84,12.6,4.72
E6C-C91-060,9.84,12.6,4.72
JL6-C20-070,9.84,12.6,4.72
JF4-C14-070,9.84,12.6,4.72
JG1-C26-055,9.84,12.6,4.72
E21-001-090,9.84,12.6,4.72
E21-001-080,9.84,12.6,4.72
E4C-076-070,9.84,12.6,4.72
E4C-076-065,9.84,12.6,4.72
E6C-C91-055,9.84,12.6,4.72
E4C-076-060,9.84,12.6,4.72
E4A-090-070,9.84,12.6,4.72
JF7-A99-055,9.84,12.6,4.72
FX6-A27-080,9.84,12.6,4.72
E4S-328-060,9.84,12.6,4.72
E5E-090-080,9.84,12.6,4.72
E4S-D29-060,9.84,12.6,4.72
GP4-A77-080,9.84,12.6,4.72
JF5-A99-055,9.84,12.6,4.72
JF5-A99-065,9.84,12.6,4.72
E4S-328-065,9.84,12.6,4.72
JF7-001-055,9.84,12.6,4.72
IV7-C69-090,9.84,12.6,4.72
GP4-A77-090,9.84,12.6,4.72
JF5-C15-055,9.84,12.6,4.72
GS7-167-070,9.84,12.6,4.72
JF4-C14-065,9.84,12.6,4.72
E4S-D29-055,9.84,12.6,4.72
GS7-090-050,9.84,12.6,4.72
GS7-A69-050,9.84,12.6,4.72
JF5-C15-065,9.84,12.6,4.72
E5F-076-080,9.84,12.6,4.72
HL1-D16-080,9.84,12.6,4.72
W90-137-060,9.84,12.6,4.72
JF4-C15-065,9.84,12.6,4.72
FT5-A68-080,9.84,12.6,4.72
JF4-C15-070,9.84,12.6,4.72
JF4-C14-060,9.84,12.6,4.72
GS7-090-065,9.84,12.6,4.72
E4S-328-055,9.84,12.6,4.72
W90-399-060,9.84,12.6,4.72
E6C-001-070,9.84,12.6,4.72
E6C-001-050,9.84,12.6,4.72
E4S-D29-065,9.84,12.6,4.72
GS7-A69-070,9.84,12.6,4.72
E1Z-B44-080,9.84,12.6,4.72
HL1-D16-090,9.84,12.6,4.72
IV7-194-090,9.84,12.6,4.72
GS7-A69-065,9.84,12.6,4.72
GS7-167-065,9.84,12.6,4.72
JF7-A99-065,9.84,12.6,4.72
E5O-090-065,9.84,12.6,4.72
JF7-C15-065,9.84,12.6,4.72
GS7-167-060,9.84,12.6,4.72
GS7-167-050,9.84,12.6,4.72
JF4-C15-060,9.84,12.6,4.72
JF7-001-065,9.84,12.6,4.72
E1Z-B44-090,9.84,12.6,4.72
E5F-076-090,9.84,12.6,4.72
E5E-090-090,9.84,12.6,4.72
GS7-090-070,9.84,12.6,4.72
JF7-C15-055,9.84,12.6,4.72
IY4-A09-080,9.84,12.6,4.72
FG9-751-090,9.84,12.6,4.72
HS5-B09-090,9.84,12.6,4.72
E6C-001-055,9.84,12.6,4.72
E5E-194-090,9.84,12.6,4.72
IV7-C69-080,9.84,12.6,4.72
FX6-580-090,9.84,12.6,4.72
FG9-090-080,9.84,12.6,4.72
JG1-C24-055,9.84,12.6,4.72
IV7-C16-080,9.84,12.6,4.72
E5F-167-080,9.84,12.6,4.72
E5F-167-090,9.84,12.6,4.72
GQ5-090-080,9.84,12.6,4.72
FX6-580-080,9.84,12.6,4.72
GQ5-090-090,9.84,12.6,4.72
BK1-090-070,9.84,12.6,4.72
HL1-A93-090,9.84,12.6,4.72
GQ6-231-080,9.84,12.6,4.72
JL6-B41-065,9.84,12.6,4.73
JL6-B41-070,9.84,12.6,4.73
JF7-C15-060,9.84,12.6,4.73
JL6-090-070,9.84,12.6,4.73
JG1-C26-070,9.84,12.6,4.73
IV1-C17-070,9.84,12.6,4.73
JG1-C25-060,9.84,12.6,4.73
IV1-C17-080,9.84,12.6,4.73
IV1-090-090,9.84,12.6,4.73
JG7-687-065,9.84,12.6,4.73
JF7-001-070,9.84,12.6,4.73
JF6-C15-060,9.84,12.6,4.73
JG7-C41-060,9.84,12.6,4.73
JG1-C24-070,9.84,12.6,4.73
JG7-194-070,9.84,12.6,4.73
JF5-675-065,9.84,12.6,4.73
IV1-C18-090,9.84,12.6,4.73
IV1-C18-070,9.84,12.6,4.73
JG7-194-055,9.84,12.6,4.73
IV1-C18-080,9.84,12.6,4.73
JF7-C15-070,9.84,12.6,4.73
JL6-B41-060,9.84,12.6,4.73
IV1-C17-090,9.84,12.6,4.73
JG7-687-055,9.84,12.6,4.73
IV1-090-080,9.84,12.6,4.73
JF5-001-070,9.84,12.6,4.73
IV1-090-070,9.84,12.6,4.73
JF5-001-065,9.84,12.6,4.73
JF5-675-070,9.84,12.6,4.73
JF5-001-060,9.84,12.6,4.73
JF5-001-055,9.84,12.6,4.73
JG1-C24-060,9.84,12.6,4.73
JF5-C15-060,9.84,12.6,4.73
JF5-C15-070,9.84,12.6,4.73
JF7-A99-060,9.84,12.6,4.73
JG1-C25-070,9.84,12.6,4.73
JF5-675-055,9.84,12.6,4.73
JG7-C41-055,9.84,12.6,4.73
JG1-C26-060,9.84,12.6,4.73
JG7-C41-065,9.84,12.6,4.73
JF5-675-060,9.84,12.6,4.73
JF6-C15-065,9.84,12.6,4.73
JF5-A99-060,9.84,12.6,4.73
JL6-090-065,9.84,12.6,4.73
IV1-B43-090,9.84,12.6,4.73
JF7-A99-070,9.84,12.6,4.73
JF6-C15-070,9.84,12.6,4.73
JF5-A99-070,9.84,12.6,4.73
JL6-B41-055,9.84,12.6,4.73
JF7-001-060,9.84,12.6,4.73
JF6-001-065,9.84,12.6,4.73
IV1-B43-080,9.84,12.6,4.74
AQ3-A06-090,8.5,13.15,5.26
GP1-090-030,11.02,11.81,4.53
IL6-011-035,11.02,11.81,4.53
E35-D07-045,11.02,11.81,4.53
E35-076-030,11.02,11.81,4.53
IL6-011-030,11.02,11.81,4.53
IL4-090-030,11.02,11.81,4.53
IL6-011-040,11.02,11.81,4.53
IL6-011-045,11.02,11.81,4.53
E35-D07-040,11.02,11.81,4.53
E35-090-030,11.02,11.81,4.53
IL4-090-040,11.02,11.81,4.53
E35-076-035,11.02,11.81,4.53
GP1-A69-030,11.02,11.81,4.53
IL4-090-045,11.02,11.81,4.53
GP1-A69-040,11.02,11.81,4.53
E35-090-040,11.02,11.81,4.53
E35-090-045,11.02,11.81,4.53
E35-076-045,11.02,11.81,4.53
E35-D07-030,11.02,11.81,4.53
GP1-090-040,11.02,11.81,4.53
IL4-090-035,11.02,11.81,4.53
E35-076-040,11.02,11.81,4.53
GP1-090-045,11.02,11.81,4.53
HS6-B09-060,9.2,12.8,5.01
HS8-323-090,9.2,12.8,5.01
HS8-323-080,9.2,12.8,5.01
IK5-C89-090,9.3,12.7,5.01
IK5-C89-080,9.3,12.7,5.01
IU1-C90-060,9.3,12.7,5.01
IK5-C89-070,9.3,12.7,5.01
IU1-C90-090,9.3,12.7,5.01
IU1-D01-065,9.3,12.7,5.01
IU1-C90-080,9.3,12.7,5.01
IU1-D01-060,9.3,12.7,5.01
IU1-C90-065,9.3,12.7,5.01
IU1-D01-070,9.3,12.7,5.01
IK5-C89-065,9.3,12.7,5.01
IU1-D01-080,9.3,12.7,5.01
IU1-C90-070,9.3,12.7,5.01
E4R-090-090,9.5,12.75,4.91
HE6-328-060,9.5,12.5,5.01
HY8-001-040,9.5,12.5,5.01
HY8-B16-055,9.5,12.5,5.01
HY8-001-080,9.5,12.5,5.01
HF3-C05-070,9.5,12.5,5.01
HY8-B16-060,9.5,12.5,5.01
HE6-328-070,9.5,12.5,5.01
HY8-B16-090,9.5,12.5,5.01
HY8-B16-080,9.5,12.5,5.01
HY8-B16-030,9.5,12.5,5.01
HY8-B16-070,9.5,12.5,5.01
HY8-B16-050,9.5,12.5,5.01
E7X-D31-110,8,13.5,5.51
E7X-D31-120,8,13.5,5.51
E7X-D31-115,8,13.5,5.51
B1H-001-065,9,13.2,5.01
B1H-001-080,9,13.2,5.01
B1H-592-080,9,13.2,5.01
B1J-592-090,9,13.2,5.01
B1H-001-090,9,13.2,5.01
B1K-D18-080,9,13.2,5.01
B1J-001-065,9,13.2,5.01
B1J-592-080,9,13.2,5.01
B1J-001-090,9,13.2,5.01
B1H-001-070,9,13.2,5.01
B1J-592-065,9,13.2,5.01
B1H-592-070,9,13.2,5.01
B1K-D18-090,9,13.2,5.01
B1K-D18-070,9,13.2,5.01
B1J-592-070,9,13.2,5.01
B1J-001-080,9,13.2,5.01
B1K-001-080,9,13.2,5.01
B1H-592-065,9,13.2,5.01
B1K-D18-065,9,13.2,5.01
B1K-001-065,9,13.2,5.01
B1K-001-090,9,13.2,5.01
B1K-001-070,9,13.2,5.01
B1H-592-090,9,13.2,5.01
B1J-001-070,9,13.2,5.01
E4R-194-065,9.3,12.8,5.01
JE6-442-065,9.3,12.8,5.01
E1I-001-070,9.3,12.8,5.01
HG9-A20-090,9.3,12.8,5.01
E4R-194-060,9.3,12.8,5.01
E4R-001-060,9.3,12.8,5.01
E1I-C88-070,9.3,12.8,5.01
E5T-011-080,9.3,12.8,5.01
E4R-001-090,9.3,12.8,5.01
JE6-C93-065,9.3,12.8,5.01
E5T-011-065,9.3,12.8,5.01
E4R-001-070,9.3,12.8,5.01
JE6-C93-090,9.3,12.8,5.01
E1I-001-080,9.3,12.8,5.01
E1I-001-090,9.3,12.8,5.01
E5T-011-070,9.3,12.8,5.01
E5T-011-060,9.3,12.8,5.01
JE6-442-080,9.3,12.8,5.01
E1I-C15-090,9.3,12.8,5.01
E1I-C15-065,9.3,12.8,5.01
E5T-675-060,9.3,12.8,5.01
JE6-442-060,9.3,12.8,5.01
E1I-001-065,9.3,12.8,5.01
E4R-001-080,9.3,12.8,5.01
JE6-C93-070,9.3,12.8,5.01
JE6-442-070,9.3,12.8,5.01
E4R-001-065,9.3,12.8,5.01
JE6-C93-080,9.3,12.8,5.01
JE6-442-090,9.3,12.8,5.01
E4R-194-070,9.3,12.8,5.01
E5T-011-090,9.3,12.8,5.01
E4R-194-080,9.3,12.8,5.01
E5T-675-090,9.3,12.8,5.01
EE6-030-080,9.65,13,4.76
FR4-A20-070,9.45,13.39,4.72
FR4-A20-050,9.45,13.39,4.72
HJ6-675-080,9.45,13.39,4.72
FR4-A20-060,9.45,13.39,4.72
AQ3-925-115,8.66,12.99,5.31
AQ3-925-110,8.66,12.99,5.31
GD1-001-110,8.66,12.99,5.31
JA2-090-120,8.66,12.99,5.31
GF1-399-120,8.66,12.99,5.31
GT2-001-120,8.66,12.99,5.31
HA6-001-110,8.66,12.99,5.31
GD1-167-115,8.66,12.99,5.31
GD2-001-110,8.66,12.99,5.31
279-167-115,8.66,12.99,5.31
AQ3-001-120,8.66,12.99,5.31
AQ3-925-120,8.66,12.99,5.31
279-090-115,8.66,12.99,5.31
279-090-120,8.66,12.99,5.31
AQ3-040-110,8.66,12.99,5.31
HE5-A20-090,8.66,12.99,5.31
279-167-110,8.66,12.99,5.31
GT2-001-110,8.66,12.99,5.31
HA6-001-120,8.66,12.99,5.31
HA6-001-115,8.66,12.99,5.31
GT4-001-110,8.66,12.99,5.31
GT4-001-115,8.66,12.99,5.31
GF1-399-115,8.66,12.99,5.31
GF1-399-110,8.66,12.99,5.31
L05-277-110,8.66,12.99,5.31
AQ3-399-120,8.66,12.99,5.31
279-277-115,8.66,12.99,5.31
279-277-110,8.66,12.99,5.31
L05-001-120,8.66,12.99,5.31
279-005-110,8.66,12.99,5.31
JA2-090-115,8.66,12.99,5.31
GD1-001-120,8.66,12.99,5.31
AQ3-040-120,8.66,12.99,5.31
GT4-001-120,8.66,12.99,5.31
GT6-001-110,8.66,12.99,5.31
GT6-001-120,8.66,12.99,5.31
GT2-001-115,8.66,12.99,5.31
HE5-B75-080,8.66,12.99,5.31
AQ1-001-115,8.66,12.99,5.31
AQ1-001-110,8.66,12.99,5.31
GD2-001-115,8.66,12.99,5.31
AQ3-399-110,8.66,12.99,5.31
279-005-120,8.66,12.99,5.31
AQ3-001-110,8.66,12.99,5.31
279-167-120,8.66,12.99,5.31
GD1-001-115,8.66,12.99,5.31
279-005-115,8.66,12.99,5.31
L05-399-120,8.66,12.99,5.31
279-277-120,8.66,12.99,5.31
GD2-001-120,8.66,12.99,5.31
279-090-110,8.66,12.99,5.31
