n,W,L,H
R08-194-080,4.72,11.42,4.53
E54-137-080,4.72,11.42,4.53
JC8-C34-080,4.72,11.42,4.53
E54-194-090,4.72,11.42,4.53
HK7-001-030,4.72,11.42,4.53
JB2-C31-080,4.72,11.42,4.53
J80-399-080,4.72,11.42,4.53
R08-194-090,4.72,11.42,4.53
E54-011-090,4.72,11.42,4.53
HK7-001-050,4.72,11.42,4.53
DG5-B12-080,4.72,11.42,4.53
DG5-399-090,4.72,11.42,4.53
R08-399-080,4.72,11.42,4.53
DG5-C44-090,4.72,11.42,4.53
J80-001-090,4.72,11.42,4.53
E54-010-080,4.72,11.42,4.53
HI3-B04-030,4.72,11.42,4.53
DG5-137-090,4.72,11.42,4.53
DG5-137-080,4.72,11.42,4.53
E54-194-080,4.72,11.42,4.53
E6T-001-040,5.91,10.63,3.94
IA8-001-040,5.91,10.63,3.94
E3I-C15-030,5.91,10.63,3.94
E3J-001-045,5.91,10.63,3.94
E6T-001-045,5.91,10.63,3.94
E6T-001-030,5.91,10.63,3.94
E6T-B41-030,5.91,10.63,3.94
E3J-011-030,5.91,10.63,3.94
GR6-001-045,5.91,10.63,3.94
GR6-001-035,5.91,10.63,3.94
E3J-B41-045,5.91,10.63,3.94
E3I-001-045,5.91,10.63,3.94
DX9-A94-035,5.91,10.63,3.94
IH2-C89-030,5.91,10.63,3.94
E3J-B41-040,5.91,10.63,3.94
IH5-011-030,5.91,10.63,3.94
IT4-001-040,5.91,10.63,3.94
IH4-011-030,5.91,10.63,3.94
E3I-C15-040,5.91,10.63,3.94
IA7-001-030,5.91,10.63,3.94
GR6-001-030,5.91,10.63,3.94
GR6-A76-030,5.91,10.63,3.94
GR6-A76-040,5.91,10.63,3.94
E3L-D20-030,5.91,10.63,3.94
E6T-B41-045,5.91,10.63,3.94
IH2-C89-040,5.91,10.63,3.94
IH5-011-035,5.91,10.63,3.94
IH5-011-045,5.91,10.63,3.94
E3I-001-040,5.91,10.63,3.94
E3I-C15-045,5.91,10.63,3.94
IT6-090-030,5.91,10.63,3.94
IT4-001-045,5.91,10.63,3.94
E3J-001-040,5.91,10.63,3.94
HX8-288-040,5.91,10.63,3.94
E3J-011-045,5.91,10.63,3.94
IH2-C89-045,5.91,10.63,3.94
HX8-288-030,5.91,10.63,3.94
GR6-A76-045,5.91,10.63,3.94
IT4-001-030,5.91,10.63,3.94
CW6-898-030,5.91,10.63,3.94
IA8-001-030,5.91,10.63,3.94
IH5-011-040,5.91,10.63,3.94
IA7-001-040,5.91,10.63,3.94
GR6-A76-035,5.91,10.63,3.94
E3J-B41-030,5.91,10.63,3.94
E3J-001-030,5.91,10.63,3.94
HQ7-001-045,5.91,10.63,3.94
E3J-011-040,5.91,10.63,3.94
E6T-B41-040,5.91,10.63,3.94
E3I-001-030,5.91,10.63,3.94
DX9-B09-045,5.91,10.63,3.94
DX9-B09-030,5.91,10.63,3.94
DX9-A94-045,5.91,10.63,3.94
IT6-090-040,5.91,10.63,3.94
IA8-001-035,5.91,10.63,3.94
HT6-011-045,5.91,10.63,3.94
E3L-D20-040,5.91,10.63,3.94
IA8-001-045,5.91,10.63,3.94
E3L-D20-045,5.91,10.63,3.94
HX8-288-045,5.91,10.63,3.94
E5X-B41-030,5.91,10.63,3.95
E5X-090-030,5.91,10.63,3.95
E5X-090-045,5.91,10.63,3.95
E5X-B41-045,5.91,10.63,3.95
E5X-090-040,5.91,10.63,3.95
E5X-B41-040,5.91,10.63,3.95
HY1-001-060,6,10.6,3.91
HY1-001-055,6,10.6,3.91
HY1-001-045,6,10.6,3.91
HY1-001-030,6,10.6,3.91
HY1-001-065,6,10.6,3.91
HY1-001-040,6,10.6,3.91
HY1-001-050,6,10.6,3.91
II7-B58-030,4.8,11.5,4.51
II7-B58-040,4.8,11.5,4.51
II6-B58-040,4.8,11.5,4.51
II6-B58-050,4.8,11.5,4.51
II6-B58-030,4.8,11.5,4.51
II7-B58-050,4.8,11.5,4.51
GG6-925-006,9,14,2.01
EO8-011-040,5.51,10.63,4.33
EO8-090-040,5.51,10.63,4.33
EO8-090-030,5.51,10.63,4.33
EO8-592-040,5.51,10.63,4.33
EO8-011-030,5.51,10.63,4.33
EO8-592-030,5.51,10.63,4.33
